temperature,humidite,co2,occupation,consommation_kwh,mode_climatisation,batiment_B1,batiment_B2,batiment_B3,batiment_B4,batiment_B5,batiment_B6,batiment_B7,batiment_B8,type_batiment_ Bureau ,type_batiment_ UNIVERSITÉ,type_batiment_BUREAU,type_batiment_Bureau,type_batiment_Bureu,type_batiment_Centre commercial,type_batiment_Entrepôt,type_batiment_Hôpital,type_batiment_Université,type_batiment_ecole,type_batiment_entrepot,type_batiment_hôpital ,type_batiment_ÉCOLE,type_batiment_École,zone_A,zone_B,zone_C,zone_D,jour_semaine_Dimanche,jour_semaine_Jeudi,jour_semaine_Lundi,jour_semaine_Mardi,jour_semaine_Mercredi,jour_semaine_Samedi,jour_semaine_Vendredi,alerte
-0.16029022394046155,0.28190014236670685,0.20721701744123433,-1.1596467096599081,-0.6108260926520716,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Oui
-0.10782206553114526,0.09064092891046893,-0.05487708172990124,0.12029447199455633,-0.47663439672447,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Non
0.2463380037317409,-0.4257589474213735,-1.0182988393727652,0.9602558724552986,1.4401307734846471,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Non
-0.01600278831484151,-0.40025771896054185,-0.3856579103389896,0.2802871197013644,0.06557259087489253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Non
-0.5144502932033482,-0.29187749800200685,-0.23020899634783332,-1.5196301670002264,-1.5120865369225833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Non
-0.5144502932033482,0.38390505621003335,-0.015111080476349634,0.2802871197013644,-0.6470941185784502,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Non
0.010231290889816636,0.2500236067906672,-0.8646574708931339,1.560228301355829,1.2606040451490728,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Non
-0.04223686751949966,-0.5277638612647004,0.4548507525201693,0.12029447199455633,0.16168285957979592,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Oui
-0.04223686751949966,0.3775297490948258,0.2849414744368125,0.5202760912615765,0.5896455655110657,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Oui
-0.39639693678238586,-0.2791268837715913,0.11141710533040547,-0.79966325231959,-0.9100373065446963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Non
-0.4488650951917026,-0.33650464780846256,0.25240565522936115,1.560228301355829,0.49897550069511876,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Oui
-0.08158798632648712,-1.1015415016334142,-0.6278690088833494,0.36028344355476843,0.30675496328531093,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Non
-0.47509917439636073,1.2381962096478965,0.18914156232598361,-1.3996356812201203,-1.6644122458133743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Non
0.29880616214105765,0.32652729217316206,0.07165110407685386,-0.79966325231959,0.10728082069022779,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non
-0.04223686751949966,-0.5978922395319878,-0.08018271889125227,1.760219110989339,1.2315896244079694,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Non
-0.750557006045272,0.944932082348331,-0.1253713566793791,-0.79966325231959,-0.9136641091373339,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Non
0.2594550433340702,0.2627742210210828,-0.2988957257857861,-0.11969449956565577,0.2704869373589322,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Non
0.28568912253872836,-0.04005286695129345,-0.6242539178602993,-0.03969817571225174,0.9051773910705605,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non
